Room,Rack,VLAN
01A,R1,1104
01A,R2,1124
01A,R3,1144
02A,R1,1164
02A,R2,1184
02A,R3,1204
03A,R1,1224
03A,R2,1244
03A,R3,1264
04A,R1,1284
04A,R2,1304
04A,R3,1324
05A,R1,1344
06A,R1,1364
06A,R2,1384
06A,R3,1404
07A,R1,1424
07A,R2,1444
07A,R3,1464
08A,R1,1484
08A,R2,1504
08A,R3,1524
B1A,R1,1544
B1A,R2,1564
B1A,R3,1584
01B,R1,1604
01B,R2,1624
01B,R3,1644
02B,R1,1664
02B,R2,1684
02B,R3,1704
03B,R1,1724
03B,R2,1744
03B,R3,1764
04B,R1,1784
04B,R2,1804
04B,R3,1824
05B,R1,1844
05B,R2,1864
05B,R3,1884
06B,R1,1904
06B,R2,1924
06B,R3,1944
07B,R1,1964
07B,R2,1984
07B,R3,2204
08B,R1,2224
08B,R2,2244
08B,R3,2264
01C,R1,2284
01C,R2,2304
01C,R3,2324
02C,R1,2344
02C,R2,2364
02C,R3,2384
03C,R1,2404
03C,R2,2424
03C,R3,2444
04C,R1,2464
04C,R2,2484
04C,R3,2504
